Field,ID,Type (Type),default,en-us,zh-hans-cn,zh-hant-tw,zh,zh-cn,zh-hk,zh-mo,zh-hans,zh-hans-sg,zh-sg,zh-tw,zh-hant,zh-hant-hk,zh-hant-mo
XboxScreenshot23,322,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxScreenshot24,323,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxScreenshot25,324,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxScreenshot26,325,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxScreenshot27,326,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxScreenshot28,327,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxScreenshot29,328,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxScreenshot30,329,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxScreenshotCaption1,350,Text,,,,,,,,,,,,,,,
XboxScreenshotCaption2,351,Text,,,,,,,,,,,,,,,
XboxScreenshotCaption3,352,Text,,,,,,,,,,,,,,,
XboxScreenshotCaption4,353,Text,,,,,,,,,,,,,,,
XboxScreenshotCaption5,354,Text,,,,,,,,,,,,,,,
XboxScreenshotCaption6,355,Text,,,,,,,,,,,,,,,
XboxScreenshotCaption7,356,Text,,,,,,,,,,,,,,,
XboxScreenshotCaption8,357,Text,,,,,,,,,,,,,,,
XboxScreenshotCaption9,358,Text,,,,,,,,,,,,,,,
XboxScreenshotCaption10,359,Text,,,,,,,,,,,,,,,
XboxScreenshotCaption11,360,Text,,,,,,,,,,,,,,,
XboxScreenshotCaption12,361,Text,,,,,,,,,,,,,,,
XboxScreenshotCaption13,362,Text,,,,,,,,,,,,,,,
XboxScreenshotCaption14,363,Text,,,,,,,,,,,,,,,
XboxScreenshotCaption15,364,Text,,,,,,,,,,,,,,,
XboxScreenshotCaption16,365,Text,,,,,,,,,,,,,,,
XboxScreenshotCaption17,366,Text,,,,,,,,,,,,,,,
XboxScreenshotCaption18,367,Text,,,,,,,,,,,,,,,
XboxScreenshotCaption19,368,Text,,,,,,,,,,,,,,,
XboxScreenshotCaption20,369,Text,,,,,,,,,,,,,,,
XboxScreenshotCaption21,370,Text,,,,,,,,,,,,,,,
XboxScreenshotCaption22,371,Text,,,,,,,,,,,,,,,
XboxScreenshotCaption23,372,Text,,,,,,,,,,,,,,,
XboxScreenshotCaption24,373,Text,,,,,,,,,,,,,,,
XboxScreenshotCaption25,374,Text,,,,,,,,,,,,,,,
XboxScreenshotCaption26,375,Text,,,,,,,,,,,,,,,
XboxScreenshotCaption27,376,Text,,,,,,,,,,,,,,,
XboxScreenshotCaption28,377,Text,,,,,,,,,,,,,,,
XboxScreenshotCaption29,378,Text,,,,,,,,,,,,,,,
XboxScreenshotCaption30,379,Text,,,,,,,,,,,,,,,
HolographicScreenshot1,400,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshot2,401,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshot3,402,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshot4,403,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshot5,404,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshot6,405,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshot7,406,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshot8,407,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshot9,408,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshot10,409,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshot11,410,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshot12,411,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshot13,412,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshot14,413,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshot15,414,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshot16,415,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshot17,416,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshot18,417,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshot19,418,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshot20,419,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshot21,420,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshot22,421,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshot23,422,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshot24,423,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshot25,424,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshot26,425,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshot27,426,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshot28,427,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshot29,428,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshot30,429,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
HolographicScreenshotCaption1,450,Text,,,,,,,,,,,,,,,
HolographicScreenshotCaption2,451,Text,,,,,,,,,,,,,,,
HolographicScreenshotCaption3,452,Text,,,,,,,,,,,,,,,
HolographicScreenshotCaption4,453,Text,,,,,,,,,,,,,,,
HolographicScreenshotCaption5,454,Text,,,,,,,,,,,,,,,
HolographicScreenshotCaption6,455,Text,,,,,,,,,,,,,,,
HolographicScreenshotCaption7,456,Text,,,,,,,,,,,,,,,
HolographicScreenshotCaption8,457,Text,,,,,,,,,,,,,,,
HolographicScreenshotCaption9,458,Text,,,,,,,,,,,,,,,
HolographicScreenshotCaption10,459,Text,,,,,,,,,,,,,,,
HolographicScreenshotCaption11,460,Text,,,,,,,,,,,,,,,
HolographicScreenshotCaption12,461,Text,,,,,,,,,,,,,,,
HolographicScreenshotCaption13,462,Text,,,,,,,,,,,,,,,
HolographicScreenshotCaption14,463,Text,,,,,,,,,,,,,,,
HolographicScreenshotCaption15,464,Text,,,,,,,,,,,,,,,
HolographicScreenshotCaption16,465,Text,,,,,,,,,,,,,,,
HolographicScreenshotCaption17,466,Text,,,,,,,,,,,,,,,
HolographicScreenshotCaption18,467,Text,,,,,,,,,,,,,,,
HolographicScreenshotCaption19,468,Text,,,,,,,,,,,,,,,
HolographicScreenshotCaption20,469,Text,,,,,,,,,,,,,,,
HolographicScreenshotCaption21,470,Text,,,,,,,,,,,,,,,
HolographicScreenshotCaption22,471,Text,,,,,,,,,,,,,,,
HolographicScreenshotCaption23,472,Text,,,,,,,,,,,,,,,
HolographicScreenshotCaption24,473,Text,,,,,,,,,,,,,,,
HolographicScreenshotCaption25,474,Text,,,,,,,,,,,,,,,
HolographicScreenshotCaption26,475,Text,,,,,,,,,,,,,,,
HolographicScreenshotCaption27,476,Text,,,,,,,,,,,,,,,
HolographicScreenshotCaption28,477,Text,,,,,,,,,,,,,,,
HolographicScreenshotCaption29,478,Text,,,,,,,,,,,,,,,
HolographicScreenshotCaption30,479,Text,,,,,,,,,,,,,,,
SurfaceHubScreenshot11,510,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
SurfaceHubScreenshot12,511,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
SurfaceHubScreenshot13,512,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
SurfaceHubScreenshot14,513,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
SurfaceHubScreenshot15,514,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
SurfaceHubScreenshot16,515,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
SurfaceHubScreenshot17,516,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
SurfaceHubScreenshot18,517,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
SurfaceHubScreenshot19,518,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
SurfaceHubScreenshot20,519,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
SurfaceHubScreenshot21,520,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
SurfaceHubScreenshot22,521,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
SurfaceHubScreenshot23,522,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
SurfaceHubScreenshot24,523,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
SurfaceHubScreenshot25,524,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
SurfaceHubScreenshot26,525,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
SurfaceHubScreenshot27,526,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
SurfaceHubScreenshot28,527,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
SurfaceHubScreenshot29,528,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
SurfaceHubScreenshot30,529,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption11,560,Text,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption12,561,Text,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption13,562,Text,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption14,563,Text,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption15,564,Text,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption16,565,Text,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption17,566,Text,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption18,567,Text,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption19,568,Text,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption20,569,Text,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption21,570,Text,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption22,571,Text,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption23,572,Text,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption24,573,Text,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption25,574,Text,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption26,575,Text,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption27,576,Text,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption28,577,Text,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption29,578,Text,,,,,,,,,,,,,,,
SurfaceHubScreenshotCaption30,579,Text,,,,,,,,,,,,,,,
StoreLogo720x1080,600,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
StoreLogo1080x1080,601,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
StoreLogo300x300,602,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
OverrideLogosForWin10,603,True/False,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
StoreLogoOverride150x150,604,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
StoreLogoOverride71x71,605,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
PromoImage1920x1080,606,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
PromoImage2400x1200,607,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxBrandedKeyArt584x800,608,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxTitledHero1920x1080,609,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
XboxFeaturedPromo1080x1080,610,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
OptionalPromo358x358,611,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
OptionalPromo1000x800,612,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
OptionalPromo414x180,613,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
Feature1,700,Text,,"Lossless structural editing — comments, whitespace & formatting preserved exactly","无损结构化编辑——注释、空白字符和格式完整保留","無損結構化編輯——註解、空白字元與格式完整保留","无损结构化编辑——注释、空白字符和格式完整保留","无损结构化编辑——注释、空白字符和格式完整保留","無損結構化編輯——註解、空白字元與格式完整保留","無損結構化編輯——註解、空白字元與格式完整保留","无损结构化编辑——注释、空白字符和格式完整保留","无损结构化编辑——注释、空白字符和格式完整保留","无损结构化编辑——注释、空白字符和格式完整保留","無損結構化編輯——註解、空白字元與格式完整保留","無損結構化編輯——註解、空白字元與格式完整保留","無損結構化編輯——註解、空白字元與格式完整保留","無損結構化編輯——註解、空白字元與格式完整保留"
Feature2,701,Text,,"Live tree view for TOML, JSON, JSONC & YAML","TOML、JSON、JSONC 和 YAML 的实时树状视图","TOML、JSON、JSONC 與 YAML 的即時樹狀檢視","TOML、JSON、JSONC 和 YAML 的实时树状视图","TOML、JSON、JSONC 和 YAML 的实时树状视图","TOML、JSON、JSONC 與 YAML 的即時樹狀檢視","TOML、JSON、JSONC 與 YAML 的即時樹狀檢視","TOML、JSON、JSONC 和 YAML 的实时树状视图","TOML、JSON、JSONC 和 YAML 的实时树状视图","TOML、JSON、JSONC 和 YAML 的实时树状视图","TOML、JSON、JSONC 與 YAML 的即時樹狀檢視","TOML、JSON、JSONC 與 YAML 的即時樹狀檢視","TOML、JSON、JSONC 與 YAML 的即時樹狀檢視","TOML、JSON、JSONC 與 YAML 的即時樹狀檢視"
Feature3,702,Text,,"Comments are first-class, editable nodes — never lost or reordered","注释是可编辑的一级节点——绝不丢失或重新排序","註解是可編輯的第一級節點——絕不遺失或重新排序","注释是可编辑的一级节点——绝不丢失或重新排序","注释是可编辑的一级节点——绝不丢失或重新排序","註解是可編輯的第一級節點——絕不遺失或重新排序","註解是可編輯的第一級節點——絕不遺失或重新排序","注释是可编辑的一级节点——绝不丢失或重新排序","注释是可编辑的一级节点——绝不丢失或重新排序","注释是可编辑的一级节点——绝不丢失或重新排序","註解是可編輯的第一級節點——絕不遺失或重新排序","註解是可編輯的第一級節點——絕不遺失或重新排序","註解是可編輯的第一級節點——絕不遺失或重新排序","註解是可編輯的第一級節點——絕不遺失或重新排序"
Feature4,703,Text,,"Type-safe kind switching: arrays ↔ inline tables, quote styles, number formats","类型安全的 kind 切换：数组 ↔ 内联表格、引号样式、数字格式","型別安全的 kind 切換：陣列 ↔ 行內表格、引號樣式、數字格式","类型安全的 kind 切换：数组 ↔ 内联表格、引号样式、数字格式","类型安全的 kind 切换：数组 ↔ 内联表格、引号样式、数字格式","型別安全的 kind 切換：陣列 ↔ 行內表格、引號樣式、數字格式","型別安全的 kind 切換：陣列 ↔ 行內表格、引號樣式、數字格式","类型安全的 kind 切换：数组 ↔ 内联表格、引号样式、数字格式","类型安全的 kind 切换：数组 ↔ 内联表格、引号样式、数字格式","类型安全的 kind 切换：数组 ↔ 内联表格、引号样式、数字格式","型別安全的 kind 切換：陣列 ↔ 行內表格、引號樣式、數字格式","型別安全的 kind 切換：陣列 ↔ 行內表格、引號樣式、數字格式","型別安全的 kind 切換：陣列 ↔ 行內表格、引號樣式、數字格式","型別安全的 kind 切換：陣列 ↔ 行內表格、引號樣式、數字格式"
Feature5,704,Text,,Convert TOML ↔ JSON ↔ YAML with a full loss report before writing,"TOML ↔ JSON ↔ YAML 相互转换，写入前提供完整损耗报告","TOML ↔ JSON ↔ YAML 相互轉換，寫入前提供完整損耗報告","TOML ↔ JSON ↔ YAML 相互转换，写入前提供完整损耗报告","TOML ↔ JSON ↔ YAML 相互转换，写入前提供完整损耗报告","TOML ↔ JSON ↔ YAML 相互轉換，寫入前提供完整損耗報告","TOML ↔ JSON ↔ YAML 相互轉換，寫入前提供完整損耗報告","TOML ↔ JSON ↔ YAML 相互转换，写入前提供完整损耗报告","TOML ↔ JSON ↔ YAML 相互转换，写入前提供完整损耗报告","TOML ↔ JSON ↔ YAML 相互转换，写入前提供完整损耗报告","TOML ↔ JSON ↔ YAML 相互轉換，寫入前提供完整損耗報告","TOML ↔ JSON ↔ YAML 相互轉換，寫入前提供完整損耗報告","TOML ↔ JSON ↔ YAML 相互轉換，寫入前提供完整損耗報告","TOML ↔ JSON ↔ YAML 相互轉換，寫入前提供完整損耗報告"
Feature6,705,Text,,"JSON Schema awareness — live, non-blocking violation flags","JSON Schema 感知——实时标记违规，且不阻挡任何操作","JSON Schema 感知——即時標記違規，且不阻擋任何操作","JSON Schema 感知——实时标记违规，且不阻挡任何操作","JSON Schema 感知——实时标记违规，且不阻挡任何操作","JSON Schema 感知——即時標記違規，且不阻擋任何操作","JSON Schema 感知——即時標記違規，且不阻擋任何操作","JSON Schema 感知——实时标记违规，且不阻挡任何操作","JSON Schema 感知——实时标记违规，且不阻挡任何操作","JSON Schema 感知——实时标记违规，且不阻挡任何操作","JSON Schema 感知——即時標記違規，且不阻擋任何操作","JSON Schema 感知——即時標記違規，且不阻擋任何操作","JSON Schema 感知——即時標記違規，且不阻擋任何操作","JSON Schema 感知——即時標記違規，且不阻擋任何操作"
Feature7,706,Text,,"Fuzzy search, type filter, multi-select & clipboard","模糊搜索、类型筛选、多选和剪贴板","模糊搜尋、型別篩選、多選與剪貼簿","模糊搜索、类型筛选、多选和剪贴板","模糊搜索、类型筛选、多选和剪贴板","模糊搜尋、型別篩選、多選與剪貼簿","模糊搜尋、型別篩選、多選與剪貼簿","模糊搜索、类型筛选、多选和剪贴板","模糊搜索、类型筛选、多选和剪贴板","模糊搜索、类型筛选、多选和剪贴板","模糊搜尋、型別篩選、多選與剪貼簿","模糊搜尋、型別篩選、多選與剪貼簿","模糊搜尋、型別篩選、多選與剪貼簿","模糊搜尋、型別篩選、多選與剪貼簿"
Feature8,707,Text,,Atomic edits with full undo/redo history,"原子性编辑，附完整撤销/重做历史","原子性編輯，附完整復原/重做歷史","原子性编辑，附完整撤销/重做历史","原子性编辑，附完整撤销/重做历史","原子性編輯，附完整復原/重做歷史","原子性編輯，附完整復原/重做歷史","原子性编辑，附完整撤销/重做历史","原子性编辑，附完整撤销/重做历史","原子性编辑，附完整撤销/重做历史","原子性編輯，附完整復原/重做歷史","原子性編輯，附完整復原/重做歷史","原子性編輯，附完整復原/重做歷史","原子性編輯，附完整復原/重做歷史"
Feature9,708,Text,,"100% offline — no telemetry, no accounts, no data collection","100% 离线运行——无遥测、无账户、不收集数据","100% 離線運作——無遙測、無帳戶、不收集資料","100% 离线运行——无遥测、无账户、不收集数据","100% 离线运行——无遥测、无账户、不收集数据","100% 離線運作——無遙測、無帳戶、不收集資料","100% 離線運作——無遙測、無帳戶、不收集資料","100% 离线运行——无遥测、无账户、不收集数据","100% 离线运行——无遥测、无账户、不收集数据","100% 离线运行——无遥测、无账户、不收集数据","100% 離線運作——無遙測、無帳戶、不收集資料","100% 離線運作——無遙測、無帳戶、不收集資料","100% 離線運作——無遙測、無帳戶、不收集資料","100% 離線運作——無遙測、無帳戶、不收集資料"
Feature10,709,Text,,,,,,,,,,,,,,,
Feature11,710,Text,,,,,,,,,,,,,,,
Feature12,711,Text,,,,,,,,,,,,,,,
Feature13,712,Text,,,,,,,,,,,,,,,
Feature14,713,Text,,,,,,,,,,,,,,,
Feature15,714,Text,,,,,,,,,,,,,,,
Feature16,715,Text,,,,,,,,,,,,,,,
Feature17,716,Text,,,,,,,,,,,,,,,
Feature18,717,Text,,,,,,,,,,,,,,,
Feature19,718,Text,,,,,,,,,,,,,,,
Feature20,719,Text,,,,,,,,,,,,,,,
MinimumHardwareReq1,800,Text,,,,,,,,,,,,,,,
MinimumHardwareReq2,801,Text,,,,,,,,,,,,,,,
MinimumHardwareReq3,802,Text,,,,,,,,,,,,,,,
MinimumHardwareReq4,803,Text,,,,,,,,,,,,,,,
MinimumHardwareReq5,804,Text,,,,,,,,,,,,,,,
MinimumHardwareReq6,805,Text,,,,,,,,,,,,,,,
MinimumHardwareReq7,806,Text,,,,,,,,,,,,,,,
MinimumHardwareReq8,807,Text,,,,,,,,,,,,,,,
MinimumHardwareReq9,808,Text,,,,,,,,,,,,,,,
MinimumHardwareReq10,809,Text,,,,,,,,,,,,,,,
MinimumHardwareReq11,810,Text,,,,,,,,,,,,,,,
RecommendedHardwareReq1,850,Text,,,,,,,,,,,,,,,
RecommendedHardwareReq2,851,Text,,,,,,,,,,,,,,,
RecommendedHardwareReq3,852,Text,,,,,,,,,,,,,,,
RecommendedHardwareReq4,853,Text,,,,,,,,,,,,,,,
RecommendedHardwareReq5,854,Text,,,,,,,,,,,,,,,
RecommendedHardwareReq6,855,Text,,,,,,,,,,,,,,,
RecommendedHardwareReq7,856,Text,,,,,,,,,,,,,,,
RecommendedHardwareReq8,857,Text,,,,,,,,,,,,,,,
RecommendedHardwareReq9,858,Text,,,,,,,,,,,,,,,
RecommendedHardwareReq10,859,Text,,,,,,,,,,,,,,,
RecommendedHardwareReq11,860,Text,,,,,,,,,,,,,,,
SearchTerm1,900,Text,,TOML editor,TOML editor,TOML editor,TOML editor,TOML editor,TOML editor,TOML editor,TOML editor,TOML editor,TOML editor,TOML editor,TOML editor,TOML editor,TOML editor
SearchTerm2,901,Text,,JSON editor,JSON editor,JSON editor,JSON editor,JSON editor,JSON editor,JSON editor,JSON editor,JSON editor,JSON editor,JSON editor,JSON editor,JSON editor,JSON editor
SearchTerm3,902,Text,,YAML editor,YAML editor,YAML editor,YAML editor,YAML editor,YAML editor,YAML editor,YAML editor,YAML editor,YAML editor,YAML editor,YAML editor,YAML editor,YAML editor
SearchTerm4,903,Text,,JSONC editor,JSONC editor,JSONC editor,JSONC editor,JSONC editor,JSONC editor,JSONC editor,JSONC editor,JSONC editor,JSONC editor,JSONC editor,JSONC editor,JSONC editor,JSONC editor
SearchTerm5,904,Text,,config file editor,config file editor,config file editor,config file editor,config file editor,config file editor,config file editor,config file editor,config file editor,config file editor,config file editor,config file editor,config file editor,config file editor
SearchTerm6,905,Text,,structural config editor,structural config editor,structural config editor,structural config editor,structural config editor,structural config editor,structural config editor,structural config editor,structural config editor,structural config editor,structural config editor,structural config editor,structural config editor,structural config editor
SearchTerm7,906,Text,,lossless editor,lossless editor,lossless editor,lossless editor,lossless editor,lossless editor,lossless editor,lossless editor,lossless editor,lossless editor,lossless editor,lossless editor,lossless editor,lossless editor
TrailerToPlayAtTopOfListing,999,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
Trailer1,1000,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
Trailer2,1001,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
Trailer3,1002,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
Trailer4,1003,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
Trailer5,1004,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
Trailer6,1005,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
Trailer7,1006,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
Trailer8,1007,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
Trailer9,1008,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
Trailer10,1009,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
Trailer11,1010,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
Trailer12,1011,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
Trailer13,1012,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
Trailer14,1013,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
Trailer15,1014,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerTitle1,1020,Text,,,,,,,,,,,,,,,
TrailerTitle2,1021,Text,,,,,,,,,,,,,,,
TrailerTitle3,1022,Text,,,,,,,,,,,,,,,
TrailerTitle4,1023,Text,,,,,,,,,,,,,,,
TrailerTitle5,1024,Text,,,,,,,,,,,,,,,
TrailerTitle6,1025,Text,,,,,,,,,,,,,,,
TrailerTitle7,1026,Text,,,,,,,,,,,,,,,
TrailerTitle8,1027,Text,,,,,,,,,,,,,,,
TrailerTitle9,1028,Text,,,,,,,,,,,,,,,
TrailerTitle10,1029,Text,,,,,,,,,,,,,,,
TrailerTitle11,1030,Text,,,,,,,,,,,,,,,
TrailerTitle12,1031,Text,,,,,,,,,,,,,,,
TrailerTitle13,1032,Text,,,,,,,,,,,,,,,
TrailerTitle14,1033,Text,,,,,,,,,,,,,,,
TrailerTitle15,1034,Text,,,,,,,,,,,,,,,
TrailerThumbnail1,1040,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerThumbnail2,1041,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerThumbnail3,1042,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerThumbnail4,1043,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerThumbnail5,1044,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerThumbnail6,1045,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerThumbnail7,1046,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerThumbnail8,1047,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerThumbnail9,1048,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerThumbnail10,1049,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerThumbnail11,1050,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerThumbnail12,1051,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerThumbnail13,1052,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerThumbnail14,1053,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerThumbnail15,1054,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerClosedCaption1,1055,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerClosedCaption2,1056,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerClosedCaption3,1057,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerClosedCaption4,1058,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerClosedCaption5,1059,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerClosedCaption6,1060,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerClosedCaption7,1061,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerClosedCaption8,1062,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerClosedCaption9,1063,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerClosedCaption10,1064,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerClosedCaption11,1065,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerClosedCaption12,1066,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerClosedCaption13,1067,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerClosedCaption14,1068,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerClosedCaption15,1069,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
TrailerAudioDescription1,1070,Relative path (or URL to file in Partner Center),,,,,,,,,,,,,,,
